aborrecer,anger
abhorr,anger
abhorr,disgust
aborrecimiento,anger
aborrecible,disgust
abomin,anger
abomin,disgust
abominablemente,disgust
abominar,anger
abominación,anger
Admir,joy
Admir,surprise
admirable,joy
admirablemente,joy
admiración,joy
admiración,surprise
admirar,joy
ador,joy
adorablemente,joy
adoración,joy
cariñoso,joy
afectar,joy
afecto,joy
afectiva,joy
cariñoso,joy
enamoramiento,joy
afectivo,joy
asustar,fear
asustado,fear
aggrav,anger
agravar,anger
agravado,anger
agravación,anger
agredir,anger
agresión,anger
agresivo,anger
agresividad,anger
aggriev,sadness
ofender,sadness
alarma,fear
alarmado,fear
alerta,fear
amat,joy
amatorio,joy
amatori,joy
amatorio,joy
amaz,surprise
asombro,surprise
asombrado,surprise
asombro,surprise
asombroso,surprise
espantosamente,surprise
amic,joy
amabilidad,joy
amistoso,joy
amicableness,joy
amigablemente,joy
loco,anger
Amor,joy
amoroso,joy
enamoramiento,joy
loco,anger
enfado,anger
enfurecido,anger
Angri,anger
angrili,anger
furiosamente,anger
enojado,anger
animos,anger
animosidad,anger
ánimo,anger
molestar,anger
molestia,anger
irritado,anger
molesto,anger
Antagon,anger
antagonismo,anger
anticip,joy
prever,joy
anticipación,joy
ansioso,fear
ansiosamente,fear
espantar,fear
espantar,fear
appreci,joy
apreciado,joy
apprehens,fear
aprensión,fear
aprensivo,fear
aprensión,fear
aprensión,fear
approb,joy
aprobativo,joy
approbatori,joy
aprobatorio,joy
approv,joy
aprobación,joy
aprobar,joy
aprobado,joy
aprobatorio,joy
ardor,joy
ardor,joy
Astoni,surprise
espantó,surprise
asombrar,surprise
asombrado,surprise
asombroso,surprise
asombrosamente,surprise
asombro,surprise
asombrar,surprise
asombrado,surprise
asombroso,surprise
atroci,fear
atroz,fear
adjuntar,joy
adjunto archivo,joy
attrit,sadness
desgaste,sadness
avarici,anger
avaro,anger
ávido,joy
avidez,joy
avidez,joy
aw,fear
aw,surprise
temor,surprise
sobrecogido,surprise
admiración reverente frente,surprise
atemorizado,surprise
horrible,fear
horrible,surprise
muy,fear
malo,sadness
mala sangre,anger
bad_temp,anger
mal carácter,anger
baffl,anger
baffl,surprise
deflector,surprise
desconcertado,anger
obstáculo,anger
resistido,anger
explosión,joy
bromear,joy
barraca,joy
intento,fear
encogidamente,fear
be_on_cloud_nin,joy
be_on_cloud_nine,joy
haz,joy
radiante,joy
golpear,surprise
becharm,joy
molestar,anger
begrudg,anger
envidiar,anger
begrudging,anger
beguil,joy
engañar,joy
engañado,joy
belliger,anger
beligerancia,anger
beligerancia,anger
beligerante,anger
beligerante,anger
pertenecer a,joy
pertenencia,joy
benef,joy
benéfico,joy
Beneficiados,joy
beneficencia,joy
benéfico,joy
benefici,joy
beneficiosamente,joy
Benevol,joy
benevolencia,joy
benévolo,joy
benévolamente,joy
bereav,sadness
afligido,sadness
privado,sadness
embriagar,surprise
se Salvaje,surprise
confundir,surprise
hechizar,joy
fascinante,joy
amargo,anger
amargura,anger
Blith,joy
alegremente,joy
blitheness,joy
azul,sadness
blue_devil,sadness
blue_devils,sadness
presagiar,fear
presentimiento,fear
bonheur,joy
aburrir,sadness
aburrido,sadness
molestia,anger
bothersom,anger
molesto,anger
con el corazón roto,sadness
quebranto,sadness
cría,anger
hermano,joy
fraternidad,joy
brotherlik,joy
brotherlike,joy
fraternal,joy
intimidado,fear
bulli,fear
intimidado,fear
buoyanc,joy
flotabilidad,joy
calf_lov,joy
calf_love,joy
CAPTIV,joy
cautivar,joy
cautivado,joy
cautivador,joy
encanto,joy
CAPTUR,joy
capturar,joy
cuidado,joy
carefre,joy
despreocupado,joy
despreocupación,joy
cuidado,joy
echar abajo,sadness
captura,joy
rozar,anger
paja,joy
charg,joy
cargar,joy
charit,joy
caritativo,joy
encanto,joy
Encantado,joy
animar,joy
Animo,joy
alegre,joy
alegremente,joy
alegría,joy
cheeri,joy
aplausos,joy
triste,sadness
abate desconsolada,sadness
cheerlessness,sadness
alegre,joy
frío,fear
escalofriante,fear
chirk_up,joy
hiel,anger
colérico,anger
churn_up,disgust
class_feel,anger
class_feeling,anger
acantilado-hang,fear
acantilado-hang,joy
acantilado colgante,fear
acantilado colgante,joy
cerca,joy
cercanía,joy
corazón frío,fear
coldheartedness,fear
comodidad,joy
cómodo,joy
confortabilidad,joy
cómodamente,joy
consolador,joy
elogiar,joy
recomendable,joy
compat,joy
compatibilidad,joy
compatible,joy
compatibilidad,joy
complac,joy
complacencia,joy
complacencia,joy
suficiente,joy
compunct,sadness
compunción,sadness
preocupación,joy
congratul,joy
felicitar,joy
consol,joy
consola,joy
constern,fear
consternación,fear
desprecia,anger
contenido,joy
contento,joy
contentamiento,joy
contrit,sadness
contrito,sadness
en tono arrepentido,sadness
contrición,sadness
arrepentimiento,sadness
codiciar,anger
codicioso,anger
codiciosamente,anger
la codicia,anger
vaca,fear
acobardado,fear
acobardarse,fear
gatear,fear
arrastrarse,fear
grima,fear
cring,fear
encogerse,fear
crucifi,anger
crucificar,anger
cruel,fear
cruelli,fear
con crueldad,fear
cruelti,fear
crueldad,fear
aplastar,joy
caspa,anger
oscuro,sadness
guión,fear
acobardar,fear
aturdimiento,surprise
aturdida,surprise
presar,sadness
deleite,joy
Encantado,joy
Demor,sadness
demoralis,sadness
desmoralizante,sadness
desmoralización,sadness
desmoralizar,sadness
desmoralizado,sadness
desmoralizante,sadness
deplor,sadness
deplorable,sadness
deplorablemente,sadness
deprimir,sadness
deprimido,sadness
deprimente,sadness
depresión,sadness
depresivo,sadness
DESOL,sadness
solitario,sadness
soledad,sadness
desesperación,sadness
desesperadamente,sadness
despis,anger
despisal,anger
despreciar,anger
desprecio,anger
despit,anger
odioso,anger
desanimar,sadness
desaliento,sadness
abatimiento,sadness
abatido,sadness
desaliento,sadness
detestar,anger
detestar,disgust
detestable,disgust
detestablemente,disgust
detestación,anger
diablo,anger
devot,joy
dedicado,joy
devoción,joy
devoción,joy
diffid,fear
timidez,fear
tímido,fear
tímidamente,fear
Dingi,sadness
sucio,sadness
terrible,fear
horrible,fear
disconsol,sadness
desconsolado,sadness
desconsuelo,sadness
discourag,anger
discourag,sadness
desanimado,anger
desanimado,sadness
desdén,anger
asco,disgust
disgustado,disgust
disgustado,disgust
disgustful,disgust
asqueroso,disgust
asquerosamente,disgust
desalentar,sadness
descorazonado,sadness
descorazonador,sadness
triste,sadness
consternación,fear
consternación,sadness
desalentar,sadness
desalentado,sadness
desánimo,sadness
desalentador,sadness
displeas,anger
desagradar,anger
disgustado,anger
desagradable,anger
displeasingly,anger
displeasur,anger
disgusto,anger
distast,disgust
desagradable,disgust
desagradablemente,disgust
